year,month,outlet_code,yact,Random_forest_pred,prophet_pred,Arima_pred
2024,3,31012002.0,27.0,11.0,19.0,29.0
2024,3,31013000.0,30.0,26.0,21.0,36.0
2024,3,33002000.0,0.0,0.0,25.0,0.0
2024,3,33002004.0,33.0,25.0,19.0,30.0
2024,3,33002008.0,0.0,0.0,34.0,8.0
2024,3,33002009.0,58.0,49.0,51.0,54.0
2024,3,33006002.0,0.0,0.0,39.0,-10.0
2024,3,33006003.0,0.0,0.0,32.0,-8.0
2024,3,33007000.0,70.0,54.0,53.0,74.0
2024,3,33007002.0,63.0,49.0,1.0,64.0
2024,3,33007004.0,0.0,0.0,1.0,-7.0
2024,3,33007006.0,1.0,2.0,48.0,-1.0
2024,3,35002000.0,34.0,29.0,38.0,34.0
2024,3,35002002.0,0.0,0.0,46.0,-5.0
2024,3,35003000.0,36.0,44.0,33.0,26.0
2024,3,35003001.0,25.0,27.0,39.0,19.0
2024,3,35003003.0,42.0,35.0,62.0,41.0
2024,3,35004000.0,3.0,2.0,38.0,-4.0
2024,3,35006000.0,41.0,51.0,36.0,37.0
2024,3,35006002.0,38.0,38.0,23.0,44.0
2024,3,35007000.0,37.0,39.0,5.0,40.0
2024,3,35008000.0,28.0,14.0,33.0,23.0
2024,3,35009000.0,19.0,27.0,40.0,24.0
2024,3,37005000.0,45.0,28.0,35.0,49.0
2024,3,37006000.0,35.0,32.0,24.0,41.0
2024,3,37006001.0,6.0,2.0,23.0,9.0
2024,3,37007000.0,11.0,5.0,2.0,12.0
2024,3,37008000.0,24.0,23.0,36.0,25.0
2024,3,37009000.0,25.0,29.0,-3.0,21.0
2024,3,39001010.0,31.0,23.0,39.0,27.0
2024,3,39001012.0,20.0,15.0,17.0,17.0
2024,3,39001014.0,12.0,5.0,48.0,5.0
2024,3,39001020.0,16.0,7.0,58.0,21.0
2024,3,39002000.0,10.0,5.0,-3.0,3.0
2024,3,39002002.0,25.0,15.0,38.0,33.0
2024,3,39002005.0,13.0,6.0,16.0,14.0
2024,3,39002010.0,33.0,34.0,55.0,32.0
2024,3,39008000.0,5.0,3.0,17.0,-2.0
2024,4,10328746.0,26.0,20.0,19.0,26.0
